instance_name,method,time_in_sec,conflicts,best_schedule
Example11.txt,SA + Min Conflict,2.4286,48,"Emp 0: D D A A D D D
Emp 1: D D A D D D D
Emp 2: D D - - A D D
Emp 3: A A - D D D D
Emp 4: A A D - - A A
Emp 5: D A A - D D D
Emp 6: D D D D D N N
Emp 7: A A - - D D D
Emp 8: A A A N D D D
Emp 9: A A - - D - -
Emp 10: D D D A - - -
Emp 11: - - D A A A A
Emp 12: - - - A - - -
Emp 13: D N N D D - -
Emp 14: D D D A D D D
Emp 15: A A D D - - -
Emp 16: - - A A N D D
Emp 17: D D D D - - -
Emp 18: D D D D - - D
Emp 19: D D - - - D D
Emp 20: N D D D D D D
Emp 21: D D A D - - -
Emp 22: D D D A A D D
Emp 23: D - - D D D D
Emp 24: - D D D D D D
Emp 25: D D D D D A A
Emp 26: D D - - - D A
Emp 27: - - - D - - A
Emp 28: D D - - D D A
Emp 29: - - D D D A A"
Example11.txt,Tabu + Min Conflict,1.7169,63,"Emp 0: - - - - D A A
Emp 1: - D - D D D A
Emp 2: D D - - - D D
Emp 3: D A A - - D D
Emp 4: D D D D D D D
Emp 5: - - D D - - -
Emp 6: D D D A A D D
Emp 7: D A A A - - -
Emp 8: - - D A A A A
Emp 9: D D D - - D D
Emp 10: - A A A D D D
Emp 11: D - - N N - -
Emp 12: D D D A A - A
Emp 13: - D D D D - -
Emp 14: A D D D D D D
Emp 15: - A A D D - -
Emp 16: - - D D - - -
Emp 17: D D - - D D D
Emp 18: D D - - D D A
Emp 19: D D N A - - -
Emp 20: D A A D D A A
Emp 21: N - - - - D D
Emp 22: - - - - D A D
Emp 23: A A D D - - A
Emp 24: D D D - D D D
Emp 25: A N A A D D D
Emp 26: D D - - D D D
Emp 27: D D D - - D N
Emp 28: D D - - D D D
Emp 29: D A D D D N -"
Example11.txt,Constraint-Guided + SA,2.2995,47,"Emp 0: D D A A D D D
Emp 1: D D A D D D A
Emp 2: D D A A - - -
Emp 3: A A D D N D D
Emp 4: - D D D D D D
Emp 5: A A D D A A D
Emp 6: A A - - D D D
Emp 7: A A D - - N D
Emp 8: D A - - D D D
Emp 9: D D - - D D D
Emp 10: D D D A A D D
Emp 11: D - - A D - -
Emp 12: D D A A - - -
Emp 13: - - D - - - -
Emp 14: - - D D - - -
Emp 15: D D A A D D N
Emp 16: A A A D D D A
Emp 17: A A D D D D D
Emp 18: D D D D D - -
Emp 19: D D N N - - D
Emp 20: N N D D - - -
Emp 21: - - - D D D D
Emp 22: D D D D A D D
Emp 23: D D - - - D D
Emp 24: - - - A D - -
Emp 25: D D - - - D A
Emp 26: D D D D D A A
Emp 27: D D D D D A A
Emp 28: D D - - - D A
Emp 29: - - - D D A A"
Example3.txt,SA + Min Conflict,1.9164,53,"Emp 0: A A N N D N N
Emp 1: D D N D D A N
Emp 2: A A N - - A A
Emp 3: D A - - D A N
Emp 4: D - - A A D D
Emp 5: A N A A A D D
Emp 6: D - - - A - -
Emp 7: - - - A N D D
Emp 8: A - - N N D D
Emp 9: A N D - - A A
Emp 10: N D D - - N A
Emp 11: D D D - - N A
Emp 12: N D D A - - -
Emp 13: N A A D N - -
Emp 14: N N A D D - -
Emp 15: - - A N N N N
Emp 16: - - - D A - -"
Example3.txt,Tabu + Min Conflict,1.4,34,"Emp 0: - - A N D D A
Emp 1: A - A A - - -
Emp 2: - - N N - - -
Emp 3: D D - - N N N
Emp 4: - - - A - D D
Emp 5: A A - A A A A
Emp 6: N N D D N N N
Emp 7: N N N - - D D
Emp 8: N A A N N N -
Emp 9: D D - - D A A
Emp 10: A N - - A A N
Emp 11: D - D D A - -
Emp 12: A A N D D - -
Emp 13: N N - - D D D
Emp 14: D D D - - A A
Emp 15: A A A A A - A
Emp 16: D D D D N N N"
Example3.txt,Constraint-Guided + SA,1.8499,37,"Emp 0: A A A D D N N
Emp 1: D N N - - N N
Emp 2: D A N D D A A
Emp 3: D D A N D D D
Emp 4: N N A A A N N
Emp 5: D D - - - D D
Emp 6: D D D N D D D
Emp 7: A A - - N A A
Emp 8: A D - - N D D
Emp 9: A N D - - - -
Emp 10: - - D A A A A
Emp 11: A - - N N A A
Emp 12: N - - A - - -
Emp 13: N A A - - - -
Emp 14: N - - A A - -
Emp 15: - - D D N N N
Emp 16: - - N D A - -"
Example1.txt,SA + Min Conflict,1.5585,23,"Emp 0: D N N A A D N
Emp 1: N N N A A D D
Emp 2: A A A N N N D
Emp 3: A A - N N A A
Emp 4: N D D D A A A
Emp 5: D D D D D A A
Emp 6: - - A - - - -
Emp 7: - - - D - - -
Emp 8: - - - A D N N"
Example1.txt,Tabu + Min Conflict,1.1244,19,"Emp 0: A A N N A A A
Emp 1: N N D N N D D
Emp 2: D D - - N N N
Emp 3: - - A - - D D
Emp 4: - - - D D - -
Emp 5: N N N - - N A
Emp 6: A A D A A A N
Emp 7: - - A A D - -
Emp 8: D D A A A - -"
Example1.txt,Constraint-Guided + SA,1.5498,8,"Emp 0: N N N - - D D
Emp 1: N N N - N N N
Emp 2: D D D N N A A
Emp 3: D D D D D - -
Emp 4: - - - A A D D
Emp 5: - - - D D A A
Emp 6: A A A A A - -
Emp 7: A A A - - A A
Emp 8: - - - A A N N"
Example13.txt,SA + Min Conflict,2.1366,40,"Emp 0: D D D N - A A
Emp 1: A A A D D - -
Emp 2: A A - D D D D
Emp 3: D D D D A A A
Emp 4: A A - D D D D
Emp 5: D D D D D D N
Emp 6: - - A A D D D
Emp 7: D D A A A A A
Emp 8: - - A D D D D
Emp 9: - - - D A D D
Emp 10: D D D D A D D
Emp 11: D D D A A D D
Emp 12: A A - - - - N
Emp 13: A A - - - D A
Emp 14: A A - D D D D
Emp 15: D D D D D A A
Emp 16: - - D - - N N
Emp 17: D D A N - - -
Emp 18: D D A - - - -
Emp 19: D D D - - A A
Emp 20: D D A A - - -
Emp 21: - - - D A - -
Emp 22: - - D D D D D
Emp 23: - - - - D A A"
